article_id,page,section_type,content,avg_font_size,bbox
CogMI_Security_and_Privacy_RL_MoE (2),4,caption,αm =ezmPMk=1 ezk(1),8.1,
CogMI_Security_and_Privacy_RL_MoE (2),4,footer,"The first stage of our framework employs a Mixture-of-Experts (MoE) architecture to decompose the com-plex task of scene understanding into specialized, man-ageable sub-tasks.[2, 1] This decomposition allows for amore nuanced and comprehensive analysis than a single
C. Reinforcement Learning for Text OptimizationThe final and most critical stage of our frameworkuses a RL agent to merge, refine, and optimize the",9.96,
CogMI_Security_and_Privacy_RL_MoE (2),4,header,"with data collection for different purposes such as viola-tion detection, safety, and control, etc. Despite the widerange of applications by these devices, privacy concernshave been very discussed along their applications [15],[16]. The captured raw images may include personaldetails like vehicle information, location history, andeven pedestrian biometric data.It is shown in [17] how the privacy of captured imagesin a violation detection project in Queensland is underquestion. A similar project is being conducted in thestate of California and Maryland. They utilize camerasto record traffic violations [18]. These cameras try toblur faces, but it does not always work. However, theymight blur the wrong areas or miss important parts thatshould be hidden [19], [20].Although various methods are utilized to protect theprivacy of captured images such as masking, obfusca-tion, and blurring, many current methods do not protectprivacy well. For example, Jian et al. [21] show that thesemethods can be attacked using AI tools like adversarialattacks. These attacks can sometimes reveal a person’sidentity, or [22] also show that hiding visual informationis not always safe.
monolithic model. Each expert is a specialized Vision-Language Model (VLM), specifically Llama 3.2, taskedwith analyzing a distinct aspect of the traffic scene.A Retrieval-Augmented Generation (RAG) mechanismis used to select the most relevant prompts for eachexpert from a dedicated prompt list, ensuring targetedand context-aware analysis. Our framework consists offour experts:",9.96,
CogMI_Security_and_Privacy_RL_MoE (2),5,body,"aggregated textual descriptions from the MoE stage.The goal is to synthesize a single, comprehensive, andcontextually coherent output that maximizes utility whileminimizing redundancy and privacy risks. We formalizethis as a Markov Decision Process (MDP) and use theREINFORCE algorithm for policy optimization.1) MDP Formulation: The text optimization task isdefined by the tuple (S, A, P, R, γ):
• State Space (S): A state st at timestep t consists ofthe sequence of tokens generated so far, Wt−1 =(w1, . . . , wt−1), along with the initial aggregatedtext from the MoE, WMoE, and the expert weightvector, α.
• Action Space (A): The agent performs text editingoperations. The action space includes ‘Insert(w)‘,‘Delete(w)‘, ‘Substitute(w, w’)‘, and ‘Reorder(w,w’)‘ to manipulate the text fragments.
• Policy (πθ): The agent’s policy πθ(at|st) is param-eterized by a neural network with parameters θ. Itmaps the current state st to a probability distributionover the action space A.
• Reward Function (R): A key contribution of ourwork is the composite reward function designedto balance the privacy-utility trade-off. The finalreward for a generated text W γ is a weighted sumof three scores:
R(W γ) = λ1 · Jrel(W γ) + λ2 · Jcon(W γ)
+ λ3 · Jcov(W γ)(2)
Score (Jcon) that penalizes redundancy and en-courages brevity ; and a Coverage Score (Jcov)that ensures key insights from all relevant expertsare retained, evaluated using BLEU and ROUGEmetrics against the aggregated expert text WMoE.2) Policy Optimization: We use the REINFORCEalgorithm to update the policy parameters θ. The policygradient is estimated by sampling trajectories and isgiven by:
t=1∇θ log πθ(ai,t|si,t)
(3)where N is the number of trajectories, Gi is the totalreward for trajectory i, and b is a baseline (e.g., a runningaverage of rewards) used to reduce variance. To encour-age exploration and prevent premature convergence to asuboptimal policy, we add an entropy regularization termto the objective function. The final optimized text is thentransmitted for downstream tasks such as real-time trafficmonitoring or smart city analytics.
V. EXPERIMENTAL SETUP
To validate the effectiveness of our proposed RL-MoEframework, we conduct a series of experiments designedto evaluate its privacy-preserving capabilities and thequality of the generated textual descriptions. This sectiondetails the datasets, evaluation metrics, baselines, andimplementation specifics.",9.33,
CogMI_Security_and_Privacy_RL_MoE (2),5,caption,"Fig. 1. Proposed Model Architecture: The model has four main components. Each one is an expert in a specific domain. They receive scoresthat show how much they contribute to the final generated text description. The calculated score is obtained from the FFNN which receives itdirectly from the input. Considering the generated textual descriptions from each expert and obtained scores, the RL component will combinedescriptions based on computed scores using three metrics (BLEU, ROUGE, BERTScore).",7.97,
CogMI_Security_and_Privacy_RL_MoE (2),5,footer,"where λi are hyperparameters. The componentsare a Relevance Score (Jrel) that measures se-mantic similarity between the generated text W γ
and a ground-truth reference description Wref us-ing BERT-based cosine similarity ; a Conciseness
We utilize a diverse set of public datasets to ensurea comprehensive evaluation across various scenariosrelevant to ITSs.",9.51,
CogMI_Security_and_Privacy_RL_MoE (2),6,body,"• RoRFD (Road Signs in Far-field and Day-light):We use this dataset to specifically test the RoadSigns Detection expert and the model’s ability tocorrectly identify and interpret regulatory informa-tion from images.
• Public Pedestrian Datasets: To evaluate the Pedes-trian Detection expert and the model’s performancein privacy-sensitive scenarios involving people, weuse a combination of publicly available pedestriandatasets.
• CFP-FPandAgeDB-30: These are standardbenchmarks for face-privacy evaluation. We usethem exclusively for our quantitative privacy met-rics (SSIM, PSNR, MSE, and SRRA) to measurethe framework’s resilience against identity recon-struction and replay attacks.
B. Evaluation Metrics
Our evaluation is twofold, focusing on both thestrength of the privacy protection and the utility of thegenerated text.1) PrivacyMetrics:Wequantifytheprivacy-preserving capabilities of our framework using fourmetrics:
• Structural Similarity Index (SSIM), Peak Signal-to-Noise Ratio (PSNR), and Mean Squared Er-ror (MSE): These metrics are used to measurethe fidelity of a hypothetically reconstructed imageagainst the original. Lower SSIM and PSNR values,and higher MSE values, indicate lower similarityand thus stronger privacy protection.
• Success Rate of Replay Attacks (SRRA): Thismetric evaluates the risk of re-identification. Wesimulate a replay attack by attempting to matchfeatures extracted from the generated text againsta database of original images. A lower SRRAindicates that the textual description has more ef-fectively anonymized identity-bearing information.2) Textual Quality Metrics: To assess the utility andquality of the generated descriptions, we use a combi-nation of standard NLP metrics and custom evaluations:
• Word Count and Unique Word Count: Thesemetrics measure the length and lexical diversity ofthe generated text, providing insight into the levelof detail.
C. Baselines and Ablation Study
To demonstrate the superiority of our approach, wecompare RL-MoE against two state-of-the-art externalbaselines and two internal ablation variants.
• AdvFace: As a representative of adversarial ob-fuscation techniques, this baseline modifies imagefeatures to confuse recognition models while at-tempting to preserve visual quality.
• Feedback-based RL: This model from Rezaei et al.[2] represents the closest architectural alternative, asit also uses reinforcement learning to generate textfrom images but lacks our proposed Mixture-of-Experts decomposition and structured reward mech-anism [4].
• MoE-only (Ablation): This variant consists of theaggregated, unrefined text generated by the fourexperts without the RL optimization stage. It al-lows us to measure the contribution of the scenedecomposition alone.
• RL-only (Ablation): This variant uses a single,general-purpose VLM (without the MoE structure)whose output is then refined by our RL agent.This measures the impact of the RL optimizationin isolation.
D. Implementation Details
All experiments were conducted on a system equippedwith an NVIDIA GeForce RTX 4050 GPU and 16GB of RAM, using Python 3.11. The core frameworkis implemented using PyTorch and the Hugging FaceTransformers library. The key hyperparameters for theRL agent, determined through empirical tuning, aredetailed in Table II.",9.71,
CogMI_Security_and_Privacy_RL_MoE (2),6,caption,"TABLE IIKEY HYPERPARAMETERS FOR THE RL AGENT
HyperparameterValue",7.63,
CogMI_Security_and_Privacy_RL_MoE (2),6,footer,"• BLEU, ROUGE, METEOR, and CIDEr: Theseare standard, widely-recognized metrics for evalu-ating the quality of machine-generated text, partic-ularly in image captioning. They measure fluency,recall, precision, and consensus against referencedescriptions [3].
• Named Entity Recognition (NER) and Modifiers:We count the number of named entities and de-
Policy Network ArchitectureTransformer Decoder (2 layers, 4 heads)Learning Rate (η)1e-4Discount Factor (γ)0.99Reward Weights (λ1, λ2, λ3)[0.2, 0.4, 0.4]Entropy Regularization (β)0.01Batch Size32OptimizerAdam",8.77,
CogMI_Security_and_Privacy_RL_MoE (2),6,header,"• TRANCOS: This dataset contains images of real-world traffic scenes with varying vehicle densities,making it ideal for evaluating the performanceof our Traffic Assessment expert and the overallframework under realistic conditions.
scriptive modifiers in the generated text. Highercounts suggest a more detailed and semanticallyrich description.",9.75,
CogMI_Security_and_Privacy_RL_MoE (2),7,body,"Our experiments were designed to validate the coreclaims of our RL-MoE framework: that it provides su-perior privacy protection while generating high-quality,useful textual descriptions. This section presents andinterprets the results from our empirical evaluation,including a detailed ablation study to demonstrate thesynergy of our framework’s components.
A. Privacy Protection Performance
A primary objective of RL-MoE is to provide ro-bust privacy protection against reconstruction and re-identification attacks. We evaluated this using the CFP-FP and AgeDB-30 datasets, with the results summarizedin Table III and Table IV.
The results clearly demonstrate that RL-MoE providessignificantly stronger privacy guarantees than both base-lines. On the CFP-FP dataset, our framework achieves aSuccess Rate of Replay Attacks (SRRA) of just 9.4%, amarked improvement over the 13.01% achieved by Ad-vFace and 11.25% by the feedback-based model . Thisindicates a substantial reduction in the risk of successfulre-identification from the generated text. Furthermore,the consistently lower SSIM and PSNR scores, alongwith a higher MSE, show that any hypothetical recon-struction from the text would be of significantly lowerfidelity, thus protecting visual privacy more effectively.
B. Membership Inference Attack (MIA) Evaluation
C. Textual Quality Evaluation
Beyond privacy, the generated text must be useful. Weassessed textual quality by measuring the level of detailand semantic richness. As shown in Figure 2 and Fig-ure 4, RL-MoE consistently produces more detailed andlexically diverse descriptions than the baseline methods.The higher counts of named entities and descriptive mod-ifiers indicate that the generated text is not just longer,but contains more meaningful and specific informationabout the scene .The progression of word count through the stages ofour model, shown in Figure 3, illustrates the framework’soperational logic. An initial concise generation is en-riched by the diverse perspectives of the four experts,and this rich but potentially verbose text is then refinedby the RL agent into a final, optimized description thatis both comprehensive and coherent .",9.96,
CogMI_Security_and_Privacy_RL_MoE (2),7,caption,"TABLE IIIPRIVACY METRICS EVALUATION ON THE CFP-FP DATASET
MethodSSIM ↓PSNR ↓MSE ↑SRRA (%) ↓
AdvFace0.8923.54314.713.01Feedback-based0.8522.18365.211.25RL-MoE (Ours)0.7820.15410.69.40
TABLE IVPRIVACY METRICS EVALUATION ON THE AGEDB-30 DATASET
MethodSSIM ↓PSNR ↓MSE ↑SRRA (%) ↓
AdvFace0.8722.91347.814.12Feedback-based0.8321.88389.112.63RL-MoE (Ours)0.7519.98435.510.10
Fig. 2. Comparison of Named Entities and Modifiers .",7.77,
CogMI_Security_and_Privacy_RL_MoE (2),7,footer,"While the current privacy metrics show clear benefits,they do not align with the most widely recognized formalprivacy evaluation methods. To strengthen the rigor, youcan incorporate a MIA–based evaluation following theframeworks in [23], [24]. This involves testing bothblack-box and whitebox attack settings, computing met-rics such as attack accuracy, precision, and average pri-vacy risk score, and optionally integrating a differential
Fig. 3. Word Count Progression Through Model Stages.",8.96,
CogMI_Security_and_Privacy_RL_MoE (2),7,header,"VI. RESULTS AND DISCUSSION
privacy mechanism to report an ϵ-value. Comparing RL-MoE against non-private and simple privacy baselinesunder these attacks will provide strong empirical evi-dence of privacy protection (Table V).",9.46,
CogMI_Security_and_Privacy_RL_MoE (2),8,body,"ModelSettingAttack Accuracy (%)Precision (%)Avg. Privacy Risk ScoreAdvFaceBlack-box72.470.10.612Feedback-basedBlack-box68.765.40.584RL-MoEBlack-box55.253.80.432AdvFaceWhite-box80.378.50.701Feedback-basedWhite-box75.673.20.642RL-MoEWhite-box60.159.00.487
D. Ablation Study: The Synergy of RL-MoETo isolate the contributions of our framework’s corecomponents, we conducted an ablation study comparingthe full RL-MoE model against an ”MoE-only” variant(without RL refinement) and an ”RL-only” variant (asingle VLM with RL refinement). The results, presentedin Table VI, confirm that the hybrid architecture is syn-ergistic and essential for achieving optimal performance.
TABLE VIABLATION STUDY RESULTS
MethodSRRA (%) ↓CIDEr ↑
MoE-only13.50.85RL-only11.80.92RL-MoE (Full)9.41.15
The ”MoE-only” baseline produces detailed but unre-fined text, leading to higher privacy risks (higher SRRA)and lower textual quality (lower CIDEr score). Con-versely, the ”RL-only” baseline, lacking the structuredinput from the experts, struggles to capture the fullbreadth of the scene, resulting in less comprehensivedescriptions. Only the full RL-MoE framework achievesthe best performance on both privacy and utility metrics,proving that both the MoE decomposition and the RLoptimization are critical, synergistic components.
in Figure 5. This indicates that the RL agent is notmerely paraphrasing or making superficial edits to theinitial text from the MoE. Instead, guided by the com-posite reward function, the agent is performing deepsemantic refinement, actively introducing new, relevantconcepts and structuring the narrative in a more optimalway. This divergence from the initial text demonstrates atrue generative optimization process, not simple filtering.
F. End-to-End Evaluation",8.88,
CogMI_Security_and_Privacy_RL_MoE (2),8,caption,"Fig. 4. Comparison of Word Count and Unique Word Count.
Fig. 5. Semantic Similarity Score Over Iterations .",7.97,
CogMI_Security_and_Privacy_RL_MoE (2),8,footer,"E. Analysis of Semantic RefinementAn interesting and important finding is the observeddecrease in semantic similarity over iterations, as shown
The current evaluation focuses on privacy and textquality but does not measure how well RL-MoE’s textoutput performs in the downstream ITS tasks whichare supposed to support. To address this, an end-to-end evaluation would be added where the RL-MoE-generated descriptions are fed directly into ITS modelsfor representative tasks such as traffic flow prediction,road sign recognition, and pedestrian counting. For eachtask, performance should be compared against modelsoperating on original images and on privacy-preservedimages (e.g. blurred). This will demonstrate that RL-MoE maintains task utility while significantly improvingprivacy which is shown in Table VII.",9.96,
CogMI_Security_and_Privacy_RL_MoE (2),8,header,TABLE VMEMBERSHIP INFERENCE ATTACK RESULTS FOR RL-MOE AND BASELINES,7.23,
CogMI_Security_and_Privacy_RL_MoE (2),9,body,"TaskMetricOriginal ImagesBlurred ImagesRL-MoE TextTraffic Flow PredictionRMSE ↓5.217.846.05Road Sign RecognitionAcc (%) ↑96.568.392.2Pedestrian CountingMAE ↓1.233.561.78
G. Limitations and Future WorkWhileourframeworkdemonstratessignificantpromise, we identify three key areas for future research.First, our current framework utilizes four manuallydefined experts. Scaling to more diverse environmentsmay require a method for automatically discovering theoptimal set of expert domains. Second, the performanceof the RL agent is tied to the manual design of thereward function. A compelling direction for futurework is to explore Inverse Reinforcement Learning(IRL) to learn a reward function directly from humanpreferences.Finally,whileRL-MoEshowsstrongempirical privacy, it lacks a formal guarantee likeDifferential Privacy (DP). Integrating DP into the RLtraining loop, for instance by using techniques similarto those explored by Fung et al. (2021) [11], is a criticalnext step to create a provably private system.
information and identity, earning the trust of the societiesthey are designed to serve.",9.3,
